序号,单词,释义
1,initially,最初，开始
2,makeup,组织；性格；化装品
3,rmost,最外面的，最远的
4,optimum,最适条件，最适度
5,block,阻塞；障碍物；
6,damn,诅咒n.诅咒；丝毫
7,outeintegral,组成的；整的
8,composition,组成，构成，结构
9,value,尊重，重视，评价
10,dignity,尊贵；(举止)庄严
11,grunt,作呼噜声；咕哝
12,abide,遵守vt.忍受
13,composer,作曲家；调停人
14,slave,作苦工vt.奴役
15,resultant,作为结果而发生的
16,consequent,作为结果的；必然的
17,hike,作长途徒步旅行
18,action,作用；情节
19,trade,做买卖；交换
20,deal,做买卖；对付
21,lease,租约，契约，租契
22,charter,租n.宪章；契据
23,headquarters,总局，总店
24,executive,总经理，董事
25,main,总管道，干线
26,overall,综合的n.工作服
27,conceit,自负，自高自大
28,ultraviolet,紫外的n.紫外线辐射
29,descendant,子孙，后裔；弟子
30,endow,资助；赋予，授予
31,datum,资料；数据；已知数
32,qualification,资格；限制条件
33,bourgeois,资产阶级的；平庸的
34,woodpecker,啄木鸟
35,bump,撞击vi.撞n.肿块
36,crash,撞坏，摔坏，砸碎
37,way,状态，状况，规模
38,superb,壮丽的；超等的
39,ornament,装饰物vt.装修
40,decorative,装饰的；可作装饰的
41,ornamental,装饰的n.装饰品
42,mount,装配；固定n.支架
43,shipment,装货；装载的货物
44,can,装罐头
45,array,装扮n.队列；排列
46,diversion,转移；改道；娱乐
47,convert,转变，改变，变换
48,transition,转变，变迁；过渡
49,torque,转(力)矩，扭(力)矩
50,workshop,专题讨论会
51,patent,专利的n.专利
52,clutch,抓住vi.掌握，攫
53,nest,筑巢vt.为…筑巢
54,coin,铸造(硬币)
55,noted,著名的，知名的
56,watchful,注意的，警惕的
57,inject,注射；注满；喷射
58,storage,贮藏，保管；仓库
59,position,主张，立场；形势
60,metropolitan,主要都市的n.大主教
61,principally,主要，大抵
62,stalk,主茎，叶柄；高烟囱
63,preside,主持；主奏
64,eject,逐出，排斥；喷射
65,bamboo,竹；竹杆，竹棍
66,jewellery,珠宝，珠宝饰物
67,wrinkle,皱纹vt.使起皱纹
68,axial,轴的；轴向的
69,axis,"轴，轴线；,第二颈椎"
70,ambient,周围的，包围着
71,anniversary,周年纪念日
72,peripheral,周界的；末梢的
73,perimeter,周(边)，周长
74,anybody,重要人物
75,responsible,重要的；可靠的
76,consequence,重要(性)，重大意义
77,category,种类，类目；范畴
78,species,种，物种；种类
79,hearty,衷心的；丰盛的
80,neutron,中子
81,intermediate,中间体；调解人
82,proton,质子，氕核
83,qualitative,质的；定性的
84,fabricate,制作，组合；捏造
85,fabrication,制作，构成；捏造
86,volunteer,志愿者vt.志愿
87,rebuke,指责，非难，斥责
88,indicative,指示的；陈述的
89,denote,"指示，意味着,i指导者教员"
90,designate,指出，指示；指定
91,colonial,殖民地的，殖民的
92,vocation,职业，行业
93,notable,值得注意的；著名的
94,merit,值得vi.应受赏(罚)
95,weaver,织布工，编织者
96,brace,支柱vt.拉紧，撑牢
97,check,支票，帐单
98,symptom,症状，征候，征兆
99,regime,政体，政权；制度
100,second,支持
101,bearing,支承；忍受；方位
102,politics,政纲，政见，策略
103,platform,政纲，党纲，宣言
104,confirmation,证实，确定；确认
105,testify,证明，证实，作证
106,audience,正式会见；拜会
107,correctly,正确地，恰当地
108,positive,正的；阳性的
109,normalization,正常化，标准化
110,sign,征兆，迹象，病症
111,conqueror,征服者，胜利者
112,controversy,争论，辩论，争吵
113,suppress,镇压；抑制；隐瞒
114,gust,阵风，一阵狂风
115,clinic,诊所，医务室；会诊
116,diagnose,诊断(疾病)
117,sincerity,真诚，诚意；真实
118,cherish,珍爱；怀有(感情)
119,detective,侦探，密探
120,underline,着重；预告
121,grind,折磨，压榨
122,discount,折扣；打折扣卖
123,literally,照字义，逐字地
124,illuminate,照明，照亮；阐明
125,summon,召唤；鼓起(勇气)
126,marsh,沼泽地，湿地
127,entertainment,招待，招待会
128,hindrance,障碍，妨碍
129,hose,长筒袜；软管
130,sofa,长沙发，沙发
131,tensile,张力的；能伸长的
132,warfare,战争，战争状态
133,battle,战斗vt.与…作战
134,predominant,占优势的；主要的
135,unfold,展开vi.呈现
136,cling,粘住；依附；坚持
137,viscous,粘滞的，粘性的
138,coherent,粘着的；紧凑的
139,album,粘贴簿；相册；文选
140,glue,粘牢
141,cement,粘结vi.粘紧
142,adhere,粘附；追随；坚持
143,strip,窄条，长带
144,further,增进
145,multiplication,增加；繁殖；乘法
146,liability,责任；倾向；债务
147,shipbuilding,造船(业)，造船学
148,grasshopper,蚱蜢，蝗虫，蚂蚱
149,wink,眨眼；使眼色
150,mint,造币厂；巨额，富源
151,hollow,凿空vi.变空
152,hymn,赞美诗，圣歌；赞歌
153,glorify,赞美(上帝)；颂扬
154,fore,在前面a.先前的
155,therein,在那里，在那时
156,overseas,在海外，(向)国外
157,ashore,在岸上，上岸
158,outside,在…外，向…外
159,brand,在…上打烙印
160,alongside,"在…旁边,…"
161,Roam,在漫步，漫游
162,over,在(做)…时
163,reproduction,再生(产)；繁殖
164,operation,运算
165,freight,运费；货运；负担
166,specification,载明，详述；规格
167,disastrous,灾难性的；悲惨的
168,locomotive,运动的；机动
169,lunar,月亮的
170,dome,圆屋顶，拱顶
171,cylinder,圆筒；柱(面)；汽缸
172,undertake,约定，保证；从事
173,primitive,远古的，未开化的
174,prototype,原型；典型，范例
175,vowel,元音；元音字母
176,satisfactorily,圆满地
177,nucleus,原子核；细胞核
178,marshal,元帅；陆军元帅
179,subscription,预约，用户，订阅费
180,prophet,预言家，先知
181,prophecy,预言，预言能力
182,prediction,预言，预告；预报
183,preset,预先装置
184,beforehand,预先；提前地
185,budget,预算，预算案
186,foresee,预见，预知，看穿
187,prevention,预防，阻止，妨碍
188,tulip,郁金香
189,intonation,语调，声调；发声
190,cosmic,宇宙的；广大无边的
191,cosmos,宇宙；秩序，和谐
192,overlap,"与…交搭vi.重迭,…"
193,excuse,与辩解；使免除
194,senseless,愚蠢的，无意义的
195,amusement,娱乐，消遣，乐趣
196,torpedo,鱼雷，水雷
197,margin,余地；幅度；赚头
198,roundabout,迂回的；转弯抹角的
199,kidnap,诱拐，绑架
200,guilt,有罪，犯罪；内疚
201,shadowy,有影的；幽暗的
202,avail,有益于n.效用
203,ambitious,有雄心的；热望的
204,significant,有效的
205,validity,有效，效力；正确
206,availability,有效(性)；可得性
207,finite,有限的；有尽的
208,magnet,有吸引力的人(或物
209,profitable,有利的；有益的
210,advantageous,有利的，有助的
211,courteous,有礼貌的，谦恭的
212,bead,有孔小珠；露珠
213,commonsense,有常识的
214,conservative,有保存力的，防腐的
215,liable,有(法律)责任的
216,yacht,游艇，快艇
217,uranium,铀
218,tanker,油船；空中加油飞机
219,postal,邮政的，邮局的
220,superiority,优越(性)，优势
221,elbow,用肘挤，挤进
222,paper,用纸包装(或覆盖)
223,cutter,用于切割的器械
224,net,用网捕；用网覆盖
225,head,用头顶(球)vi.出发
226,tug,用力拖n.猛拉，拖
227,hook,用钩连接，用钩挂
228,formulate,用公式表示
229,sniff,用鼻子吸vt.嗅
